time,utm_x,utm_y,path_type,vehicle_yaw_deg,path_yaw_deg,cte_meter,k_gain,v_kmh,target_steer_deg,current_steer_deg,kp,ki,kd,closest_cluster_dist,r_state,y_state,g_state,f_state,l_state,light_area,stopline_dist
17:12:13.928,399740.1493,4091874.6305,global,-15.64,-15.63,0.207,2.00,0.00,22.00,7.90,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:13.977,399740.1493,4091874.6305,global,-15.64,-15.63,0.207,2.00,0.00,22.00,7.90,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.026,399740.1493,4091874.6305,global,-15.64,-15.63,0.207,2.00,0.00,22.00,7.87,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.079,399740.1404,4091874.6306,global,-15.63,-15.63,0.204,2.00,0.00,22.00,7.87,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.126,399740.1404,4091874.6306,global,-15.59,-15.63,0.204,2.00,-2.59,22.00,15.72,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.175,399740.1404,4091874.6306,global,-15.60,-15.63,0.204,2.00,-2.59,22.00,15.72,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.228,399740.1404,4091874.6306,global,-15.61,-15.63,0.204,2.00,-2.59,22.00,15.72,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.279,399740.1404,4091874.6306,global,-15.66,-15.63,0.204,2.00,0.27,22.00,21.99,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.325,399740.1671,4091874.6303,global,-15.71,-15.63,0.211,2.00,0.27,22.00,21.99,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.379,399740.1671,4091874.6303,global,-15.83,-15.63,0.211,2.00,0.27,22.00,21.99,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.431,399740.1671,4091874.6303,global,-16.03,-15.63,0.211,2.00,0.54,22.00,21.99,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.477,399740.1671,4091874.6303,global,-16.38,-15.63,0.211,2.00,0.54,22.00,21.99,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.529,399740.1671,4091874.6303,global,-16.59,-15.63,0.211,2.00,0.54,21.95,21.99,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.578,399740.2024,4091874.6077,global,-16.80,-15.63,0.199,2.00,0.54,20.54,21.99,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.632,399740.2024,4091874.6077,global,-17.17,-15.63,0.199,2.00,0.81,20.17,21.99,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.674,399740.2024,4091874.6077,global,-17.55,-15.63,0.199,2.00,0.98,19.79,21.99,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.726,399740.2024,4091874.6077,global,-17.81,-15.63,0.199,2.00,0.98,19.53,21.99,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.776,399740.2024,4091874.6077,global,-18.18,-15.63,0.199,2.00,0.98,19.16,21.99,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.830,399740.2823,4091874.5845,global,-18.39,-6.61,0.194,2.00,1.28,9.43,21.99,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.881,399740.2823,4091874.5845,global,-18.79,-6.61,0.194,2.00,1.28,9.03,21.99,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.924,399740.2823,4091874.5845,global,-19.30,-6.61,0.194,2.00,1.54,8.52,21.99,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
17:12:14.976,399740.2823,4091874.5845,global,-19.57,-6.61,0.194,2.00,1.54,8.24,21.99,9.70,0.10,0.50,99.00,0,0,0,0,0,0.00,999.00
