x,y,alt
399739.410024,4091874.605935,123.304
399739.516715,4091874.593578,123.258
399739.641341,4091874.592105,123.208
399739.756672,4091874.557455,123.236
399739.854330,4091874.534110,123.271
399739.978431,4091874.488261,123.252
399740.093500,4091874.431423,123.271
399740.217732,4091874.396668,123.261
399740.324423,4091874.384311,123.269
399740.422081,4091874.360966,123.252
399740.555216,4091874.326106,123.243
399740.679186,4091874.269163,123.229
399740.821484,4091874.256385,123.272
399740.954881,4091874.243712,123.273
399741.106213,4091874.241923,123.269
399741.301660,4091874.206326,123.264
399741.417253,4091874.193864,123.259
399741.541879,4091874.192391,123.256
399741.684046,4091874.168519,123.252
399741.808541,4091874.155952,123.279
399741.950578,4091874.120986,123.303
399742.101384,4091874.074821,123.335
399742.225748,4091874.051160,123.336
399742.376686,4091874.016090,123.352
399742.536395,4091873.969820,123.345
399742.687202,4091873.923655,123.348
399742.847042,4091873.888479,123.341
399742.997849,4091873.842314,123.344
399743.166853,4091873.829221,123.351
399743.335726,4091873.805034,123.366
399743.522272,4091873.769542,123.358
399743.708555,4091873.711862,123.332
399743.868264,4091873.665592,123.322
399744.027972,4091873.619323,123.346
399744.187812,4091873.584147,123.351
399744.356423,4091873.537772,123.357
399744.507755,4091873.535982,123.387
399744.676628,4091873.511795,123.398
399744.854534,4091873.498596,123.398
399745.032440,4091873.485398,123.403
399745.227756,4091873.438707,123.364
399745.432630,4091873.447380,123.386
399745.637110,4091873.422772,123.376
399745.868427,4091873.408942,123.375
399746.099613,4091873.384018,123.376
399746.330799,4091873.359094,123.337
399746.579658,4091873.322865,123.334
399746.837549,4091873.297626,123.304
399747.086408,4091873.261397,123.285
399747.353070,4091873.224958,123.306
399747.628766,4091873.199508,123.296
399747.886526,4091873.163175,123.329
399748.144024,4091873.104653,123.331
399748.401785,4091873.068320,123.305
399748.632708,4091873.021208,123.323
399748.890338,4091872.973781,123.306
399749.121524,4091872.948857,123.303
399749.361087,4091872.879452,123.278
399749.618454,4091872.809837,123.296
399749.849509,4091872.773819,123.310
399750.089203,4091872.715509,123.318
399750.337668,4091872.645999,123.357
399750.577100,4091872.565500,123.353
399750.816795,4091872.507190,123.330
399751.047325,4091872.426797,123.329
399751.278249,4091872.379685,123.303
399751.500009,4091872.310491,123.318
399751.704358,4091872.274789,123.321
399751.917871,4091872.261169,123.331
399752.113581,4091872.247760,123.334
399752.318193,4091872.234246,123.334
399752.531575,4091872.209533,123.323
399752.726891,4091872.162842,123.321
399752.940011,4091872.115941,123.335
399753.170935,4091872.068829,123.327
399753.402121,4091872.043906,123.309
399753.650980,4091872.007677,123.342
399753.899838,4091871.971449,123.338
399754.166632,4091871.946105,123.356
399754.433163,4091871.898572,123.337
399754.690661,4091871.840051,123.324
399754.957061,4091871.781425,123.307
399755.205920,4091871.745197,123.331
399755.463418,4091871.686676,123.326
399755.720916,4091871.628155,123.342
399755.969513,4091871.569739,123.332
399756.209732,4091871.555804,123.346
399756.449295,4091871.486399,123.341
399756.689514,4091871.472464,123.387
399756.973587,4091871.402534,123.397
399757.258053,4091871.365885,123.407
399757.542388,4091871.318142,123.348
399757.826985,4091871.292587,123.325
399758.138026,4091871.244528,123.301
399758.431394,4091871.207774,123.307
399758.751074,4091871.137423,123.288
399759.044442,4091871.100669,123.271
399759.355089,4091871.019329,123.263
399759.630916,4091871.004973,123.313
399759.888807,4091870.979733,123.388
399760.182175,4091870.942979,123.441
399760.457740,4091870.906436,123.465
399760.724140,4091870.847810,123.484
399760.999966,4091870.833454,123.491
399761.257333,4091870.763839,123.500
399761.515225,4091870.738600,123.547
399761.790658,4091870.690962,123.527
399762.039255,4091870.632547,123.487
399762.288113,4091870.596319,123.478
399762.536447,4091870.515716,123.456
399762.775617,4091870.413030,123.448
399762.988738,4091870.366129,123.414
399763.210104,4091870.263654,123.392
399763.431864,4091870.194460,123.402
399763.644853,4091870.136465,123.477
399763.874990,4091870.022791,123.472
399764.122668,4091869.886718,123.412
399764.388937,4091869.816998,123.412
399764.636878,4091869.703113,123.459
399764.893721,4091869.589123,123.392
399765.159728,4091869.497216,123.399
399765.416570,4091869.383226,123.454
399765.620002,4091869.269867,123.512
399765.903812,4091869.177749,123.511
399766.143245,4091869.097251,123.499
399766.382415,4091868.994565,123.516
399766.657586,4091868.924740,123.509
399766.906444,4091868.888512,123.496
399767.182533,4091868.896345,123.510
399767.432179,4091868.926680,123.510
399767.655512,4091868.990613,123.501
399767.834730,4091869.088353,123.522
399768.040653,4091869.185778,123.489
399768.264773,4091869.316274,123.454
399768.462449,4091869.469273,123.467
399768.651487,4091869.644565,123.482
399768.831228,4091869.786681,123.476
399768.966986,4091869.973698,123.479
399769.129710,4091870.182588,123.452
399769.256828,4091870.391898,123.470
399769.392454,4091870.567822,123.439
399769.528735,4091870.799215,123.464
399769.656640,4091871.075088,123.473
399769.775511,4091871.339973,123.480
399769.893989,4091871.571576,123.471
399770.021368,4091871.803075,123.446
399770.122567,4091872.079264,123.436
399770.232536,4091872.344254,123.455
399770.351670,4091872.631326,123.472
399770.461639,4091872.896317,123.479
399770.554067,4091873.183705,123.500
399770.646494,4091873.471093,123.514
399770.739053,4091873.769575,123.518
399770.813546,4091874.046080,123.534
399770.887908,4091874.311491,123.508
399770.935302,4091874.555030,123.509
399770.974057,4091874.820862,123.516
399770.985581,4091875.042634,123.528
399770.952465,4091875.253838,123.557
399770.901283,4091875.443065,123.548
399770.832428,4091875.643596,123.549
399770.727966,4091875.844549,123.541
399770.605438,4091876.023523,123.532
399770.464844,4091876.180521,123.524
399770.279217,4091876.293669,123.525
399770.120557,4091876.428689,123.532
399769.926027,4091876.541943,123.521
399769.740268,4091876.643997,123.501
399769.545608,4091876.746157,123.486
399769.333668,4091876.892902,123.472
399769.112695,4091877.028659,123.447
399768.864885,4091877.153637,123.451
399768.625847,4091877.267417,123.457
399768.369004,4091877.381407,123.460
399768.111899,4091877.473209,123.460
399767.863828,4091877.576000,123.473
399767.597559,4091877.645720,123.467
399767.331159,4091877.704346,123.464
399767.091858,4091877.795938,123.463
399766.816556,4091877.854669,123.460
399766.523844,4091877.946892,123.464
399766.276428,4091878.105152,123.456
399766.019717,4091878.230236,123.466
399765.735775,4091878.311260,123.477
399765.460211,4091878.347804,123.480
399765.202320,4091878.373043,123.482
399764.899657,4091878.376620,123.467
399764.632339,4091878.357589,123.458
399764.374185,4091878.360641,123.463
399764.098490,4091878.386090,123.449
399763.840336,4091878.389142,123.441
399763.573674,4091878.425580,123.442
399763.307274,4091878.484206,123.440
399763.032235,4091878.565125,123.450
399762.792540,4091878.623435,123.451
399762.543944,4091878.681851,123.453
399762.313414,4091878.762244,123.455
399762.100556,4091878.831332,123.450
399761.878535,4091878.878339,123.462
399761.638578,4091878.914461,123.455
399761.398490,4091878.939490,123.480
399761.149763,4091878.986812,123.476
399760.909806,4091879.022935,123.484
399760.625209,4091879.048489,123.473
399760.340744,4091879.085138,123.463
399760.056540,4091879.143975,123.462
399759.745500,4091879.192033,123.452
399759.443624,4091879.262174,123.447
399759.132846,4091879.332420,123.443
399758.795231,4091879.391888,123.454
399758.493748,4091879.495311,123.453
399758.165298,4091879.576861,123.456
399757.863815,4091879.680284,123.458
399757.579743,4091879.750215,123.444
399757.276949,4091879.742699,123.435
399756.982794,4091879.712890,123.454
399756.697804,4091879.705163,123.453
399756.422240,4091879.741707,123.451
399756.120101,4091879.789660,123.446
399755.853177,4091879.803911,123.457
399755.586121,4091879.807068,123.456
399755.318935,4091879.799131,123.458
399755.034469,4091879.835780,123.463
399754.767938,4091879.883312,123.458
399754.519604,4091879.963916,123.449
399754.252942,4091880.000355,123.445
399753.995444,4091880.058876,123.435
399753.737684,4091880.095209,123.418
399753.479924,4091880.131542,123.417
399753.195327,4091880.157098,123.418
399752.919632,4091880.182548,123.425
399752.652970,4091880.218986,123.444
399752.395078,4091880.244226,123.467
399752.110744,4091880.291969,123.460
399751.817245,4091880.317629,123.445
