x,y,alt
399657.803062,4091964.046053,124.708
399658.133215,4091964.108719,124.907
399658.435087,4091964.038574,124.905
399658.763796,4091963.979207,124.916
399659.154292,4091963.874728,124.907
399659.554215,4091963.814518,124.919
399659.945105,4091963.743321,124.957
399660.353405,4091963.638630,125.000
399660.735525,4091963.578632,125.128
399661.187808,4091963.429040,125.233
399661.703060,4091963.334179,125.275
399662.235066,4091963.150358,125.344
399662.759089,4091963.044298,125.438
399663.290963,4091962.849383,125.497
399663.619278,4091962.756734,125.491
399664.195662,4091962.561292,125.491
399664.790111,4091962.387827,125.498
399665.110050,4091962.339660,125.486
399665.421086,4091962.291598,125.478
399665.731335,4091962.176973,125.476
399666.068421,4091962.073126,125.469
399666.388360,4091962.024958,125.487
399666.743380,4091961.931994,125.452
399667.089893,4091961.872417,125.478
399667.436143,4091961.790652,125.494
399667.756344,4091961.764673,125.511
399668.102857,4091961.705096,125.490
399668.414025,4091961.668128,125.497
399668.965541,4091961.628316,125.541
399669.471629,4091961.511374,125.576
399669.968028,4091961.327974,125.574
399670.367032,4091961.190108,125.576
399670.695610,4091961.119648,125.609
399671.104697,4091961.081522,125.588
399671.567195,4091961.042763,125.577
399672.022104,4091961.115049,125.598
399672.413782,4091961.110415,125.601
399672.858739,4091961.094055,125.611
399673.329746,4091961.021910,125.588
399673.827457,4091960.949449,125.607
399674.307234,4091960.866104,125.607
399674.742502,4091960.783287,125.616
399675.186409,4091960.678176,125.618
399675.630053,4091960.550878,125.604
399676.074354,4091960.479048,125.615
399676.527163,4091960.373832,125.619
399677.032595,4091960.201421,125.559
399677.538290,4091960.051198,125.531
399678.062182,4091959.934046,125.488
399678.363923,4091959.852808,125.465
399678.674566,4091959.771465,125.429
399679.190344,4091959.720981,125.462
399679.661481,4091959.659931,125.427
399680.061667,4091959.621910,125.425
399680.496673,4091959.516905,125.394
399680.887694,4091959.456802,125.416
399681.251748,4091959.374827,125.418
399681.669213,4091959.292220,125.400
399682.095448,4091959.198414,125.405
399682.486994,4091959.182687,125.463
399682.896213,4091959.155655,125.475
399683.305563,4091959.139717,125.503
399683.714782,4091959.112685,125.517
399684.123739,4091959.063465,125.549
399684.479416,4091959.025971,125.572
399684.852503,4091958.954985,125.559
399685.243262,4091958.872694,125.571
399685.625250,4091958.801603,125.574
399685.989173,4091958.708534,125.586
399686.397605,4091958.614939,125.599
399686.797266,4091958.532544,125.625
399687.205566,4091958.427855,125.610
399687.605489,4091958.367647,125.584
399687.970068,4091958.330048,125.583
399688.361352,4091958.292133,125.598
399688.779604,4091958.276089,125.614
399689.188692,4091958.237964,125.644
399689.650797,4091958.165925,125.644
399690.103737,4091958.071804,125.632
399690.529972,4091957.977998,125.632
399691.017732,4091957.816892,125.619
399691.506149,4091957.711256,125.625
399691.968122,4091957.628123,125.639
399692.421063,4091957.534002,125.643
399692.918250,4091957.417167,125.653
399693.432978,4091957.277933,125.640
399693.894557,4091957.161519,125.665
399694.409548,4091957.044473,125.666
399694.888538,4091956.894567,125.641
399695.385462,4091956.755544,125.604
399695.864714,4091956.627825,125.563
399696.335458,4091956.533493,125.533
399696.832383,4091956.394470,125.507
399697.294356,4091956.311338,125.497
399697.818118,4091956.183093,125.456
399698.333896,4091956.132611,125.441
399698.626473,4091956.029291,125.410
399699.186760,4091955.978282,125.390
399699.729243,4091955.927484,125.403
399700.279972,4091955.821111,125.374
399700.830701,4091955.714738,125.364
399701.381036,4091955.575084,125.333
399701.940536,4091955.457512,125.302
399702.491265,4091955.351139,125.305
399703.033223,4091955.255966,125.291
399703.539837,4091955.183401,125.291
399704.037549,4091955.110942,125.276
399704.562097,4091955.049260,125.266
399705.059809,4091954.976801,125.266
399705.548226,4091954.871166,125.242
399706.001692,4091954.821421,125.198
399706.446387,4091954.782875,125.164
399706.899852,4091954.733130,125.149
399707.371384,4091954.705362,125.136
399707.842916,4091954.677594,125.135
399708.314185,4091954.627639,125.129
399708.776815,4091954.599976,125.147
399709.230543,4091954.572419,125.181
399709.710057,4091954.466889,125.183
399710.189441,4091954.350265,125.161
399710.651153,4091954.244946,125.166
399711.130274,4091954.106134,125.162
399711.618297,4091953.967218,125.132
399712.132763,4091953.805797,125.122
399712.656000,4091953.633178,125.104
399713.188794,4091953.515922,125.108
399713.748950,4091953.453821,125.071
399714.291565,4091953.414117,125.047
399714.790064,4091953.408222,125.007
399715.244842,4091953.469416,124.986
399715.628537,4091953.542546,125.018
399716.065117,4091953.570669,125.051
399716.518452,4091953.509831,125.061
399716.971655,4091953.437899,125.066
399717.415694,4091953.343884,125.074
399717.824651,4091953.294666,125.080
399718.295658,4091953.222523,125.055
399718.793764,4091953.183346,125.033
399719.300509,4091953.121877,125.004
399719.824795,4091953.038008,124.974
399720.349082,4091952.954140,124.955
399720.855958,4091952.903765,124.956
399721.442426,4091952.808066,124.948
399722.037795,4091952.712262,124.940
399722.348701,4091952.653108,124.930
399722.650837,4091952.605154,124.922
399722.961874,4091952.557094,124.918
399723.273043,4091952.520128,124.919
399723.592588,4091952.438681,124.908
399723.903757,4091952.401715,124.892
399724.214663,4091952.342562,124.880
399724.534734,4091952.305490,124.868
399725.147907,4091952.209476,124.876
399725.459075,4091952.172510,124.878
399725.787654,4091952.102052,124.865
399726.089789,4091952.054098,124.860
399726.391794,4091951.995050,124.851
399726.702700,4091951.935896,124.845
399727.280791,4091951.884678,124.863
399727.582795,4091951.825630,124.851
399727.884800,4091951.766582,124.836
399728.195837,4091951.718522,124.832
399728.497973,4091951.670568,124.836
399728.817912,4091951.622403,124.836
399729.110752,4091951.541272,124.822
399729.413282,4091951.526600,124.831
399729.981815,4091951.420018,124.815
399730.560037,4091951.379895,124.823
399731.155538,4091951.295185,124.797
399731.457673,4091951.247231,124.806
399732.025157,4091951.051899,124.807
399732.566198,4091950.879070,124.836
399732.822250,4091950.698516,124.815
399733.335143,4091950.403970,124.832
399733.591064,4091950.212322,124.801
399733.846986,4091950.020674,124.814
399734.084448,4091949.773767,124.812
399734.331074,4091949.548943,124.799
399734.541307,4091949.257976,124.758
399734.724177,4091948.911856,124.731
399734.854425,4091948.632930,124.737
399734.984279,4091948.320723,124.713
399735.060853,4091948.020242,124.715
399735.119230,4091947.686689,124.703
399735.159673,4091947.342253,124.655
399735.173672,4091947.020320,124.651
399735.151933,4091946.687715,124.611
399735.121293,4091946.355215,124.603
399735.064340,4091946.056312,124.616
