x,y,alt
399740.802614,4091873.413357,124.711
399740.900010,4091873.367823,124.766
399741.006701,4091873.355467,124.787
399741.211181,4091873.330858,124.785
399741.380186,4091873.317765,124.786
399741.548665,4091873.260296,124.793
399741.734948,4091873.202616,124.805
399741.957101,4091873.166703,124.792
399742.188287,4091873.141779,124.811
399742.419342,4091873.105761,124.795
399742.685611,4091873.036041,124.793
399742.907239,4091872.955753,124.794
399743.200738,4091872.930092,124.793
399743.440564,4091872.882875,124.803
399743.716128,4091872.846331,124.804
399744.000594,4091872.809681,124.800
399744.330487,4091872.850163,124.782
399744.588248,4091872.813829,124.769
399744.836975,4091872.766507,124.769
399745.093949,4091872.663610,124.762
399745.359955,4091872.571702,124.761
399745.653192,4091872.523853,124.773
399745.884247,4091872.487835,124.778
399746.142007,4091872.451502,124.774
399746.417309,4091872.392770,124.783
399746.692480,4091872.322944,124.783
399746.959142,4091872.286505,124.799
399747.208001,4091872.250277,124.795
399747.501369,4091872.213523,124.770
399747.794605,4091872.165674,124.773
399748.061268,4091872.129235,124.770
399748.345734,4091872.092586,124.786
399748.621036,4091872.033854,124.788
399748.913879,4091871.952725,124.781
399749.206853,4091871.882688,124.795
399749.491188,4091871.834945,124.779
399749.775130,4091871.753921,124.788
399750.032497,4091871.684306,124.755
399750.307799,4091871.625574,124.815
399750.565559,4091871.589241,124.778
399750.814549,4091871.564106,124.809
399751.072309,4091871.527773,124.783
399751.347480,4091871.457947,124.787
399751.604847,4091871.388332,124.802
399751.880543,4091871.362882,124.810
399752.128877,4091871.282279,124.847
399752.386637,4091871.245945,124.806
399752.644004,4091871.176330,124.825
399752.919700,4091871.150880,124.826
399753.186100,4091871.092254,124.854
399753.461271,4091871.022428,124.854
399753.736572,4091870.963697,124.868
399754.011612,4091870.882777,124.865
399754.304849,4091870.834929,124.869
399754.580020,4091870.765104,124.892
399754.873125,4091870.706162,124.871
399755.139394,4091870.636442,124.871
399755.432762,4091870.599688,124.873
399755.725737,4091870.529652,124.882
399756.000908,4091870.459826,124.866
399756.294013,4091870.400884,124.869
399756.586857,4091870.319755,124.847
399756.889258,4091870.293989,124.853
399757.129084,4091870.246773,124.858
399757.439862,4091870.176526,124.832
399757.723935,4091870.106596,124.843
399758.043746,4091870.047338,124.836
399758.301375,4091869.999911,124.848
399758.568169,4091869.974567,124.829
399758.852242,4091869.904636,124.824
399759.153987,4091869.823401,124.805
399759.420912,4091869.809151,124.836
399759.696214,4091869.750419,124.815
399759.980418,4091869.691583,124.810
399760.273392,4091869.621547,124.817
399760.557989,4091869.595992,124.815
399760.824652,4091869.559554,124.821
399761.117495,4091869.478424,124.808
399761.401568,4091869.408494,124.811
399761.721248,4091869.338142,124.819
399761.970107,4091869.301915,124.835
399762.245409,4091869.243183,124.834
399762.520842,4091869.195546,124.838
399762.805309,4091869.158897,124.826
399763.125251,4091869.110734,124.854
399763.365470,4091869.096799,124.876
399763.649674,4091869.037962,124.864
399763.934009,4091868.990220,124.886
399764.236017,4091868.931173,124.876
399764.466941,4091868.884061,124.901
399764.742243,4091868.825330,124.897
399765.017414,4091868.755505,124.919
399765.337487,4091868.718436,124.939
399765.612527,4091868.637517,124.929
399765.896338,4091868.545399,124.939
399766.206723,4091868.441871,124.839
399766.499960,4091868.394024,124.829
399766.801968,4091868.334977,124.820
399767.068761,4091868.309632,124.848
399767.370507,4091868.228398,124.785
399767.646202,4091868.202948,124.790
399767.939308,4091868.144007,124.761
399768.224168,4091868.140640,124.752
399768.508634,4091868.103991,124.759
399768.810773,4091868.056038,124.765
399769.077697,4091868.041788,124.759
399769.344884,4091868.049725,124.771
399769.612596,4091868.102038,124.781
399769.889603,4091868.187527,124.772
399770.175643,4091868.284005,124.796
399770.417697,4091868.425385,124.782
399770.642342,4091868.600256,124.833
399770.831248,4091868.764454,124.848
399771.029318,4091868.950735,124.853
399771.183272,4091869.170824,124.847
399771.319291,4091869.380029,124.856
399771.455573,4091869.611422,124.854
399771.583084,4091869.854014,124.835
399771.692791,4091870.096816,124.838
399771.785087,4091870.373111,124.815
399771.850547,4091870.638627,124.833
399771.898335,4091870.915448,124.814
399772.017599,4091871.213614,124.824
399772.092486,4091871.523401,124.838
399772.158208,4091871.811104,124.840
399772.250504,4091872.087399,124.840
399772.351965,4091872.385776,124.820
399772.408786,4091872.673585,124.847
399772.474639,4091872.972383,124.828
399772.504754,4091873.260508,124.837
399772.561443,4091873.537223,124.823
399772.600459,4091873.825242,124.831
399772.621541,4091874.102379,124.840
399772.633852,4091874.390714,124.850
399772.636737,4091874.634779,124.841
399772.631375,4091874.934418,124.849
399772.581111,4091875.201302,124.857
399772.459632,4091875.469028,124.872
399772.302283,4091875.714987,124.918
399772.135902,4091875.949957,124.923
399771.968471,4091876.096176,124.929
399771.765433,4091876.242817,124.907
399771.526394,4091876.356596,124.899
399771.287618,4091876.492563,124.884
399771.065858,4091876.561757,124.889
399770.809015,4091876.675747,124.888
399770.524943,4091876.745677,124.886
399770.258936,4091876.837584,124.892
399769.993061,4091876.940585,124.881
399769.709119,4091877.021609,124.895
399769.416407,4091877.113832,124.898
399769.123564,4091877.194962,124.952
399768.821819,4091877.276196,124.924
399768.520073,4091877.357430,124.931
399768.236001,4091877.427361,124.892
399767.934387,4091877.519689,124.939
399767.650183,4091877.578525,124.901
399767.348307,4091877.648666,124.896
399767.046431,4091877.718807,124.905
399766.753456,4091877.788842,124.910
399766.469253,4091877.847678,124.899
399766.158868,4091877.951206,124.902
399765.856992,4091878.021347,124.926
399765.581690,4091878.080078,124.904
399765.262010,4091878.150429,124.914
399764.969298,4091878.242652,124.912
399764.658651,4091878.323992,124.936
399764.374316,4091878.371735,124.887
399764.080949,4091878.408488,124.884
399763.805516,4091878.456126,124.869
399763.512541,4091878.526161,124.850
399763.228338,4091878.584998,124.828
399762.926199,4091878.632951,124.799
399762.641471,4091878.647412,124.794
399762.312890,4091878.717868,124.755
399762.028555,4091878.765611,124.774
399761.735187,4091878.802365,124.727
399761.477033,4091878.805417,124.679
399761.184059,4091878.875452,124.660
399760.882052,4091878.934499,124.722
399760.579913,4091878.982452,124.697
399760.277906,4091879.041499,124.703
399759.966604,4091879.067370,124.652
399759.664465,4091879.115323,124.595
399759.335621,4091879.163592,124.614
399759.042122,4091879.189252,124.592
399758.757656,4091879.225901,124.541
399758.420304,4091879.307557,124.603
399758.118035,4091879.344416,124.485
399757.780682,4091879.426072,124.539
399757.469773,4091879.485225,124.513
399757.132027,4091879.533599,124.571
399756.785117,4091879.559891,124.629
399756.455880,4091879.574878,124.579
399756.206104,4091879.533449,124.439
399755.939310,4091879.558794,124.297
399755.628139,4091879.595758,124.254
399755.290393,4091879.644133,124.265
399754.952254,4091879.659225,124.292
399754.685854,4091879.717852,124.348
399754.392355,4091879.743512,124.374
399754.090086,4091879.780371,124.353
399753.769750,4091879.795254,124.368
399753.502826,4091879.809505,124.329
399753.218491,4091879.857248,124.323
399752.925255,4091879.905096,124.314
399752.632281,4091879.975132,124.336
399752.365487,4091880.000476,124.356
399752.054578,4091880.059629,124.325
399751.752440,4091880.107583,124.343
399751.468236,4091880.166419,124.341
399751.157065,4091880.203384,124.359
399750.872468,4091880.228940,124.306
399750.588265,4091880.287776,124.289
399750.277093,4091880.324741,124.258
399750.001792,4091880.383473,124.266
399749.708818,4091880.453509,124.252
399749.406942,4091880.523650,124.242
399749.131902,4091880.604570,124.215
399748.847305,4091880.630125,124.190
399748.554069,4091880.677973,124.182
399748.243029,4091880.726032,124.139
399747.940628,4091880.751798,124.118
399747.638621,4091880.810846,124.145
399747.362795,4091880.825202,124.115
399747.087362,4091880.872840,124.094
399746.811798,4091880.909384,124.086
399746.536103,4091880.934834,124.050
399746.251506,4091880.960390,124.059
399745.984844,4091880.996828,124.055
399745.674066,4091881.067075,124.054
399745.398240,4091881.081432,124.030
399745.104873,4091881.118186,124.040
399744.846981,4091881.143426,124.041
399744.571680,4091881.202158,124.060
399744.314051,4091881.249585,124.094
399744.074094,4091881.285708,124.146
399743.852073,4091881.332715,124.196
399743.674429,4091881.368101,124.214
399743.549410,4091881.336293,124.224
399743.407242,4091881.360165,124.233
