x,y,alt
477783.134975,3964512.676113,88.635
477782.728615,3964512.721499,88.537
477782.376422,3964512.755658,88.579
477782.024230,3964512.789817,88.577
477781.663061,3964512.846180,88.583
477781.247668,3964512.891589,88.566
477780.868377,3964512.925816,88.574
477780.489115,3964512.971134,88.574
477780.082698,3964512.994338,88.581
477779.676366,3964513.050815,88.547
477779.288071,3964513.096156,88.560
477778.899720,3964513.119314,88.584
477778.520485,3964513.175723,88.567
477778.186275,3964513.176563,88.600
477777.852092,3964513.188494,88.582
477777.463825,3964513.244926,88.591
477777.048348,3964513.257062,88.591
477776.650992,3964513.291334,88.587
477776.262697,3964513.336675,88.595
477775.847220,3964513.348811,88.604
477775.431855,3964513.405311,88.577
477775.034555,3964513.461766,88.558
477774.619106,3964513.484993,88.602
477774.203712,3964513.530402,88.594
477773.788180,3964513.520355,88.576
477773.363754,3964513.565787,88.575
477772.939328,3964513.611219,88.577
477772.505757,3964513.612308,88.581
477772.045228,3964513.668922,88.582
477771.611742,3964513.703286,88.565
477771.178227,3964513.726558,88.572
477770.744769,3964513.772013,88.606
477770.293189,3964513.795331,88.606
477769.850725,3964513.851899,88.600
477769.426271,3964513.886240,88.594
477768.974747,3964513.931740,88.606
477768.523223,3964513.977240,88.620
477768.062611,3964514.000581,88.622
477767.593021,3964514.046127,88.610
477767.141497,3964514.091627,88.628
477766.680884,3964514.114968,88.646
477766.211323,3964514.171605,88.634
477765.732645,3964514.194991,88.623
477765.281149,3964514.251582,88.622
477764.829625,3964514.297083,88.646
477764.359924,3964514.298264,88.643
477763.890306,3964514.332719,88.631
477763.420605,3964514.333900,88.602
477762.987007,3964514.323899,88.616
477762.526367,3964514.336149,88.623
477762.083680,3964514.303988,88.630
477761.631989,3964514.282942,88.612
477761.180186,3964514.217531,88.616
477760.746476,3964514.163165,88.623
477760.294673,3964514.097754,88.621
477759.851847,3964514.010138,88.625
477759.381923,3964513.922590,88.612
477758.957050,3964513.790564,88.595
477758.505080,3964513.658606,88.597
477758.080180,3964513.515489,88.603
477757.664256,3964513.350166,88.656
477757.239328,3964513.195958,88.637
477756.841359,3964512.986226,88.657
477756.479409,3964512.732038,88.692
477756.117486,3964512.488941,88.681
477755.764541,3964512.223639,88.658
477755.456647,3964511.913859,88.615
477755.193945,3964511.615056,88.594
477754.967374,3964511.316163,88.629
477754.758784,3964510.983950,88.647
477754.577237,3964510.629487,88.654
477754.440881,3964510.286002,88.660
477754.304414,3964509.898152,88.662
477754.213082,3964509.499097,88.662
477754.112662,3964509.077883,88.638
477754.093592,3964508.678646,88.639
477754.092587,3964508.279364,88.643
477754.091555,3964507.868991,88.657
477754.135658,3964507.447413,88.693
477754.170756,3964507.036948,88.688
477754.232925,3964506.615325,88.659
477754.286089,3964506.204815,88.650
477754.330136,3964505.761055,88.654
477754.419347,3964505.317181,88.665
477754.472456,3964504.884489,88.645
477754.543713,3964504.485025,88.633
477754.623947,3964504.063356,88.618
477754.667967,3964503.608505,88.601
477754.748117,3964503.153562,88.607
477754.819291,3964502.720825,88.604
477754.890436,3964502.276996,88.596
477754.988680,3964501.833099,88.609
477755.068831,3964501.378157,88.614
477755.166991,3964500.900987,88.599
477755.238164,3964500.468249,88.579
477755.327403,3964500.035466,88.625
477755.416587,3964499.580501,88.613
477755.469611,3964499.114536,88.603
477755.540729,3964498.659616,88.599
477755.611875,3964498.215788,88.584
477755.701142,3964497.794096,88.605
477755.808446,3964497.361268,88.624
477755.879564,3964496.906348,88.611
477755.968775,3964496.462474,88.596
477756.039949,3964496.029736,88.600
477756.111151,3964495.608090,88.609
477756.209450,3964495.186376,88.598
477756.280596,3964494.742547,88.596
477756.369863,3964494.320856,88.589
477756.468191,3964493.910232,88.612
477756.539337,3964493.466404,88.627
477756.619515,3964493.022553,88.608
477756.681601,3964492.567656,88.622
477756.761807,3964492.134896,88.606
477756.823920,3964491.691090,88.594
477756.886005,3964491.236193,88.614
477756.975217,3964490.792319,88.602
477757.037330,3964490.348513,88.576
477757.108504,3964489.915776,88.588
477757.197799,3964489.505175,88.638
477757.250879,3964489.061392,88.629
477757.340063,3964488.606427,88.600
477757.411264,3964488.184781,88.629
477757.482466,3964487.763134,88.588
477757.553556,3964487.297124,88.571
477757.615669,3964486.853318,88.579
477757.704853,3964486.398353,88.547
477757.757989,3964485.976752,88.592
477757.838196,3964485.543992,88.597
477757.918374,3964485.100141,88.574
477757.971427,3964484.645266,88.601
477758.042545,3964484.190347,88.568
477758.140845,3964483.768632,88.561
477758.239089,3964483.324736,88.538
477758.373492,3964482.891839,88.584
477758.471792,3964482.470125,88.581
477758.633266,3964482.026069,88.561
477758.812861,3964481.604150,88.561
477759.046847,3964481.259733,88.537
477759.326053,3964480.937385,88.555
477759.650395,3964480.603832,88.588
477760.020124,3964480.358895,88.562
477760.371871,3964480.147277,88.533
477760.759833,3964479.968841,88.494
477761.175061,3964479.856884,88.545
477761.608353,3964479.744882,88.524
477762.050819,3964479.688313,88.573
477762.457069,3964479.598562,88.545
477762.908539,3964479.530879,88.569
477763.369126,3964479.496447,88.533
477763.829628,3964479.428741,88.500
477764.263145,3964479.405468,88.467
477764.723787,3964479.393219,88.483
477765.202327,3964479.314377,88.474
477765.653909,3964479.291059,88.466
477766.123444,3964479.223331,88.464
477766.575054,3964479.211104,88.447
477766.999482,3964479.165672,88.448
477767.441947,3964479.109103,88.462
477767.893584,3964479.107967,88.461
477768.345110,3964479.062467,88.458
477768.796720,3964479.050241,88.472
477769.239241,3964479.015854,88.461
477769.708776,3964478.948126,88.491
477770.160386,3964478.935900,88.494
477770.629949,3964478.879263,88.477
477771.081503,3964478.844854,88.474
477771.533113,3964478.832628,88.480
477771.975578,3964478.776059,88.512
477772.418155,3964478.763855,88.480
477772.878741,3964478.729424,88.525
477773.312202,3964478.683969,88.550
477773.754751,3964478.660674,88.573
477774.215281,3964478.604060,88.593
477774.675924,3964478.591811,88.586
477775.091291,3964478.535311,88.575
477775.533784,3964478.489834,88.596
477775.967300,3964478.466562,88.602
477776.427803,3964478.398857,88.619
477776.861347,3964478.386676,88.622
477777.285831,3964478.363427,88.619
477777.719263,3964478.306881,88.609
477778.188966,3964478.305701,88.635
477778.667535,3964478.237951,88.667
477779.110084,3964478.214656,88.632
477779.561665,3964478.191339,88.656
477779.995126,3964478.145885,88.654
477780.455768,3964478.133636,88.664
477780.898261,3964478.088159,88.663
477781.358848,3964478.053728,88.624
477781.801397,3964478.030433,88.638
477782.270961,3964477.973797,88.656
477782.740580,3964477.939343,88.640
477783.183045,3964477.882776,88.651
477783.652637,3964477.837231,88.604
477784.104191,3964477.802822,88.637
477784.564749,3964477.757300,88.672
477785.025364,3964477.733961,88.678
477785.503960,3964477.677302,88.664
477785.964603,3964477.665054,88.647
477786.434138,3964477.597326,88.618
477786.885665,3964477.551827,88.630
477787.355312,3964477.528465,88.654
477787.833964,3964477.493989,88.666
477788.312644,3964477.470604,88.669
477788.782180,3964477.402877,88.677
477789.215668,3964477.368514,88.644
477789.685315,3964477.345152,88.641
477790.163912,3964477.288494,88.629
477790.642620,3964477.276200,88.606
477791.103207,3964477.241770,88.598
477791.563737,3964477.185157,88.592
477792.042418,3964477.161772,88.615
477792.530047,3964477.105091,88.638
477793.008699,3964477.070615,88.640
477793.460253,3964477.036207,88.624
477793.929845,3964476.990663,88.641
477794.408552,3964476.978370,88.653
477794.869083,3964476.921757,88.682
477795.329698,3964476.898418,88.682
477795.772191,3964476.852942,88.675
477796.214657,3964476.796374,88.673
477796.693309,3964476.761899,88.666
477797.171906,3964476.705241,88.701
477797.650558,3964476.670765,88.720
477798.120205,3964476.647403,88.727
477798.589769,3964476.590768,88.730
477799.077482,3964476.567361,88.737
477799.547074,3964476.521817,88.719
477799.998600,3964476.476319,88.683
477800.495345,3964476.452889,88.738
477800.964937,3964476.407345,88.793
477801.443673,3964476.406143,88.754
477801.922297,3964476.360577,88.769
477802.382912,3964476.337238,88.760
477802.834466,3964476.302830,88.749
477803.294997,3964476.246218,88.755
477803.791715,3964476.211698,88.772
477804.279400,3964476.177200,88.780
477804.758080,3964476.153816,88.779
477805.236676,3964476.097158,88.773
477805.715301,3964476.051592,88.815
477806.175888,3964476.017162,88.780
477806.645452,3964475.960527,88.771
477807.151258,3964475.948166,88.779
477807.638887,3964475.891486,88.778
477808.126544,3964475.845897,88.787
477808.605225,3964475.822514,88.793
477809.129041,3964475.787925,88.902
477809.634958,3964475.819929,88.856
477810.086651,3964475.840978,88.756
477810.574615,3964475.917392,88.768
477811.053657,3964476.038194,88.822
477811.496679,3964476.203451,88.886
477811.876723,3964476.468687,88.815
477812.274887,3964476.756060,88.817
477812.610017,3964477.121230,88.804
477812.954125,3964477.464195,88.804
477813.208071,3964477.873933,88.818
477813.407849,3964478.294899,88.811
477813.580585,3964478.738115,88.824
477813.681086,3964479.192604,88.865
477813.772610,3964479.669297,88.863
477813.828003,3964480.146082,88.825
477813.901406,3964480.600638,88.818
477814.029034,3964481.066150,88.816
477814.093543,3964481.576185,88.824
477814.167057,3964482.075107,88.826
477814.213529,3964482.596278,88.843
477814.296104,3964483.106268,88.822
477814.360557,3964483.594121,88.828
477814.397968,3964484.104224,88.803
477814.453417,3964484.603190,88.842
477814.472791,3964485.124430,88.874
477814.555365,3964485.634420,88.853
477814.574711,3964486.144568,88.834
477814.630160,3964486.643535,88.822
477814.685608,3964487.142502,88.804
477814.695921,3964487.652673,88.806
477814.751398,3964488.162730,88.802
477814.752706,3964488.684015,88.801
477814.826275,3964489.205119,88.786
477814.863686,3964489.715222,88.782
477814.901098,3964490.225325,88.790
477814.965607,3964490.735360,88.809
477815.012078,3964491.256532,88.812
477815.067610,3964491.788772,88.795
477815.105021,3964492.298875,88.789
477815.160498,3964492.808933,88.786
477815.224979,3964493.307877,88.769
477815.262418,3964493.829071,88.795
477815.317867,3964494.328038,88.774
477815.346245,3964494.838164,88.789
477815.401749,3964495.359313,88.785
477815.430155,3964495.880530,88.769
477815.476627,3964496.401701,88.786
477815.514038,3964496.911804,88.773
477815.542472,3964497.444112,88.794
477815.598004,3964497.976353,88.788
477815.635443,3964498.497547,88.773
477815.699924,3964498.996491,88.782
477815.728330,3964499.517708,88.782
477815.783779,3964500.016674,88.764
477815.830194,3964500.515664,88.768
477815.858545,3964501.014698,88.771
477815.904988,3964501.524779,88.780
477815.924306,3964502.023836,88.787
477815.952657,3964502.522871,88.786
477815.908745,3964503.022087,88.761
477815.873839,3964503.510189,88.777
477815.811806,3964503.987268,88.762
477815.731652,3964504.442210,88.784
477815.642550,3964504.930448,88.782
477815.490134,3964505.385571,88.811
