x,y,alt
399701.785941,4091960.452278,131.110
399701.793531,4091960.341234,131.053
399701.792088,4091960.219202,131.003
399701.790775,4091960.108263,130.948
399701.807004,4091959.974926,130.856
399701.913432,4091959.940381,130.813
399702.020384,4091959.950211,130.820
399702.107959,4091959.827126,130.790
399702.259026,4091959.803148,130.782
399702.419520,4091959.823441,130.780
399702.606326,4091959.810136,130.759
399702.775985,4091959.852511,130.787
399702.971168,4091959.794725,130.773
399703.167531,4091959.836784,130.778
399703.381568,4091959.867539,130.801
399703.577538,4091959.876317,130.801
399703.764344,4091959.863012,130.809
399703.906378,4091959.828045,130.826
399704.048675,4091959.815267,130.829
399704.164005,4091959.780617,130.809
399704.306302,4091959.767838,130.798
399704.422025,4091959.766469,130.857
399704.537616,4091959.754007,130.859
399704.653471,4091959.763732,130.863
399704.768275,4091959.684706,130.823
399704.893425,4091959.727608,130.859
399705.045411,4091959.781287,130.918
399705.169773,4091959.757625,130.900
399705.320972,4091959.744742,130.898
399705.453711,4091959.676599,130.885
399705.604779,4091959.652621,130.908
399705.746945,4091959.628749,130.878
399705.870782,4091959.560712,130.877
399706.004178,4091959.548039,130.850
399706.128015,4091959.480002,130.841
399706.261542,4091959.478422,130.844
399706.376740,4091959.432678,130.840
399706.510398,4091959.442193,130.849
399706.616169,4091959.352178,130.808
399706.758860,4091959.372682,130.828
399706.882960,4091959.326832,130.815
399707.016093,4091959.291971,130.815
399707.158259,4091959.268099,130.855
399707.309851,4091959.288497,130.897
399707.452148,4091959.275718,130.916
399707.603216,4091959.251741,130.947
399707.763054,4091959.216564,130.963
399707.922761,4091959.170294,130.965
399708.100534,4091959.146000,130.973
399708.269274,4091959.110718,130.973
399708.465113,4091959.108402,131.013
399708.652575,4091959.150567,131.043
399708.857972,4091959.203614,131.098
399709.045434,4091959.245779,131.163
399709.188124,4091959.266282,131.133
399709.375061,4091959.264071,131.126
399709.570769,4091959.250661,131.151
399709.766608,4091959.248345,131.177
399709.962316,4091959.234935,131.192
399710.149122,4091959.221630,131.187
399710.336321,4091959.241607,131.229
399710.541193,4091959.250279,131.251
399710.736638,4091959.214682,131.257
399710.949756,4091959.167779,131.286
399711.128054,4091959.187861,131.297
399711.297450,4091959.208049,131.303
399711.467108,4091959.250424,131.351
399711.610193,4091959.304209,131.402
399711.744113,4091959.335911,131.454
399711.850672,4091959.312460,131.450
399711.957230,4091959.289009,131.460
399712.055412,4091959.310039,131.472
399712.206218,4091959.263874,131.455
399712.374695,4091959.206404,131.447
399712.525238,4091959.138051,131.394
399712.694634,4091959.158238,131.443
399712.784570,4091959.234843,131.486
399712.830260,4091959.334161,131.583
